,ground-truth,claude-3-5-sonnet-beg2000,claude-3-5-sonnet-end2000,claude-3-5-sonnet-mid2000
Volt,100.0,0.0,0.0,0.0
Vue,100.0,50.0,100.0,50.0
Vyper,100.0,80.0,40.0,60.0
WDL,100.0,100.0,100.0,100.0
WGSL,100.0,100.0,100.0,100.0
Wavefront Material,100.0,0.0,0.0,0.0
Wavefront Object,100.0,0.0,0.0,0.0
Web Ontology Language,100.0,0.0,0.0,0.0
WebAssembly Interface Type,100.0,0.0,0.0,0.0
WebAssembly,100.0,100.0,100.0,100.0
WebIDL,100.0,0.0,0.0,0.0
WebVTT,100.0,33.333333333333336,100.0,33.333333333333336
Wget Config,100.0,0.0,0.0,0.0
Whiley,100.0,100.0,66.66666666666667,100.0
Wikitext,100.0,0.0,0.0,0.0
Win32 Message File,100.0,0.0,0.0,0.0
Windows Registry Entries,100.0,0.0,0.0,0.0
Witcher Script,100.0,0.0,0.0,0.0
Wollok,100.0,100.0,100.0,100.0
World of Warcraft Addon Data,100.0,0.0,0.0,0.0
Wren,100.0,100.0,0.0,100.0
X BitMap,100.0,0.0,0.0,0.0
X Font Directory Index,100.0,0.0,0.0,0.0
X PixMap,100.0,0.0,0.0,0.0
X10,100.0,100.0,94.44444444444444,100.0
XC,100.0,100.0,100.0,100.0
XCompose,100.0,100.0,100.0,100.0
XML Property List,100.0,0.0,0.0,0.0
XML,100.0,82.1917808219178,83.56164383561644,78.08219178082192
XPages,100.0,0.0,0.0,0.0
XProc,100.0,0.0,0.0,0.0
XQuery,100.0,100.0,100.0,100.0
XS,100.0,0.0,0.0,0.0
XSLT,100.0,100.0,100.0,100.0
Xojo,100.0,0.0,0.0,0.0
Xonsh,100.0,0.0,0.0,0.0
Xtend,100.0,50.0,50.0,50.0
YAML,100.0,87.5,87.5,87.5
YANG,100.0,100.0,100.0,0.0
YARA,100.0,100.0,100.0,100.0
YASnippet,100.0,0.0,0.0,0.0
Yacc,100.0,0.0,0.0,0.0
Yul,100.0,50.0,0.0,50.0
ZAP,100.0,0.0,0.0,0.0
ZIL,100.0,100.0,100.0,100.0
Zeek,100.0,66.66666666666667,66.66666666666667,100.0
ZenScript,100.0,0.0,100.0,0.0
Zephir,100.0,0.0,50.0,0.0
Zig,100.0,100.0,100.0,100.0
Zimpl,100.0,100.0,100.0,100.0
cURL Config,100.0,0.0,0.0,0.0
crontab,100.0,0.0,0.0,0.0
desktop,100.0,0.0,0.0,0.0
dircolors,100.0,0.0,0.0,0.0
eC,100.0,0.0,0.0,0.0
edn,100.0,0.0,0.0,0.0
fish,100.0,100.0,100.0,100.0
hoon,100.0,100.0,100.0,100.0
iCalendar,100.0,100.0,100.0,100.0
jq,100.0,100.0,100.0,100.0
kvlang,100.0,0.0,0.0,0.0
mIRC Script,100.0,0.0,0.0,0.0
mcfunction,100.0,100.0,100.0,100.0
modelio-open-source-5.4.1_amd64.deb,100.0,0.0,0.0,0.0
nanorc,100.0,66.66666666666667,66.66666666666667,100.0
omnetpp-msg,100.0,0.0,0.0,0.0
omnetpp-ned,100.0,0.0,0.0,0.0
q,100.0,100.0,100.0,100.0
reStructuredText,100.0,100.0,0.0,100.0
robots.txt,100.0,0.0,0.0,0.0
sed,100.0,100.0,100.0,100.0
templ,100.0,0.0,0.0,0.0
vCard,100.0,100.0,100.0,100.0
wisp,100.0,100.0,0.0,100.0
xBase,100.0,0.0,0.0,0.0
