,ground-truth,claude-3-5,claude-haiku-4-5,codestral-2508,deepseek-chat-v3-1,gemini-2.5-pro,gpt-4o,gpt-4o-mini,llama-3-2-3b-instruct,meta-llama,qwen-2-5-7b-instruct,starcoder2-3B-2000mid
JavaScript+ERB,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JavaScript,40,38.0,38.0,40.0,37.0,39.0,37.0,38.0,10.0,37.0,40.0,12.0
Jest Snapshot,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JetBrains MPS,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinja,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jison Lex,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jison,3,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0
Jolie,5,5.0,5.0,1.0,5.0,5.0,1.0,1.0,0.0,2.0,1.0,0.0
Jsonnet,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Julia,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,1.0
Jupyter Notebook,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Just,2,2.0,2.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
KRL,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Kaitai Struct,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KakouneScript,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KerboScript,3,1.0,0.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
KiCad Layout,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KiCad Legacy Layout,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KiCad Schematic,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kickstart,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0
Kit,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Kotlin,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Kusto,4,2.0,1.0,4.0,4.0,4.0,3.0,3.0,0.0,4.0,0.0,0.0
LFE,4,4.0,2.0,0.0,3.0,3.0,3.0,1.0,0.0,0.0,1.0,0.0
LOLCODE,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
LSL,2,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
LTspice Symbol,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LabVIEW,11,3.0,11.0,2.0,9.0,4.0,7.0,5.0,0.0,2.0,1.0,0.0
Lark,3,3.0,3.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0
Lasso,3,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,0.0
Latte,2,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Lean 4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lean,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0
Less,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Lex,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LigoLANG,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Limbo,3,3.0,3.0,2.0,3.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0
Linker Script,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Linux Kernel Module,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquid,2,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0
Literate Agda,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Literate CoffeeScript,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LiveCode Script,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LiveScript,1,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Logos,5,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Logtalk,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
LookML,3,3.0,1.0,0.0,3.0,3.0,3.0,2.0,0.0,1.0,0.0,0.0
LoomScript,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lua,7,6.0,6.0,5.0,4.0,7.0,6.0,6.0,1.0,6.0,6.0,4.0
Luau,5,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
M,29,0.0,6.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0
M4,5,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,0.0
M4Sugar,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MATLAB,39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,10.0,32.0,39.0,10.0
MAXScript,5,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,4.0,2.0,0.0
MDX,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
MLIR,4,3.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,3.0,3.0,0.0
MQL4,3,3.0,3.0,2.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0
MQL5,3,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
MTML,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
MUF,2,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Macaulay2,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Makefile,12,3.0,10.0,9.0,9.0,9.0,9.0,9.0,1.0,7.0,7.0,0.0
Markdown,10,6.0,6.0,4.0,6.0,5.0,3.0,6.0,1.0,3.0,2.0,0.0
Marko,3,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Mask,1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathematica,12,10.0,1.0,3.0,8.0,1.0,5.0,5.0,2.0,1.0,9.0,3.0
Maven POM,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max,3,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0
Mercury,10,10.0,10.0,10.0,10.0,10.0,10.0,9.0,0.0,6.0,2.0,2.0
Mermaid,11,10.0,10.0,7.0,6.0,10.0,8.0,3.0,0.0,2.0,1.0,0.0
Meson,2,2.0,2.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0
Metal,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Microsoft Developer Studio Project,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Microsoft Visual Studio Solution,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MiniYAML,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mint,6,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modelica,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,3.0,12.0,12.0,9.0
Modula-2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Modula-3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Module Management System,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mojo,2,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Monkey C,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monkey,5,4.0,2.0,1.0,5.0,1.0,0.0,3.0,0.0,3.0,0.0,0.0
Moocode,3,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
MoonBit,5,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
MoonScript,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Motoko,2,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0
Motorola 68K Assembly,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Move,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0
Muse,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mustache,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
NASL,10,10.0,9.0,5.0,9.0,8.0,9.0,5.0,1.0,4.0,0.0,0.0
NCL,16,12.0,14.0,13.0,11.0,15.0,15.0,10.0,1.0,7.0,5.0,0.0
NEON,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NMODL,2,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
NPM Config,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NSIS,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0
NWScript,6,4.0,4.0,5.0,5.0,6.0,1.0,0.0,0.0,5.0,0.0,0.0
Nasal,2,2.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Nearley,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Nemerle,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
NetLinx+ERB,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NetLinx,2,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
NetLogo,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
NewLisp,3,1.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0
Nextflow,4,4.0,4.0,2.0,3.0,4.0,3.0,4.0,0.0,1.0,0.0,0.0
Nginx,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0
Nim,6,5.0,6.0,5.0,6.0,6.0,6.0,6.0,1.0,5.0,5.0,3.0
Nit,24,20.0,22.0,13.0,15.0,22.0,16.0,11.0,0.0,12.0,9.0,0.0
Nix,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
Noir,3,1.0,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Nu,2,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0
Nunjucks,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nushell,2,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0
OASv2-json,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OASv2-yaml,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OASv3-json,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OASv3-yaml,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCaml,10,10.0,10.0,10.0,10.0,10.0,10.0,9.0,4.0,9.0,10.0,1.0
Oberon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Object Data Instance Notation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ObjectScript,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Objective-C++,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Objective-C,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Objective-J,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odin,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Omgrofl,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Opa,2,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,0.0
Opal,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Open Policy Agent,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenCL,2,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenEdge ABL,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenQASM,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
OpenRC runscript,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OpenSCAD,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0
OpenStep Property List,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Option List,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Org,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ox,3,0.0,3.0,0.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Oxygene,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Oz,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
P4,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0
PDDL,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,1.0,0.0,0.0
PEG.js,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHP,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,7.0,19.0,19.0,11.0
PLSQL,8,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0
PLpgSQL,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
POV-Ray SDL,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pact,2,1.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
Pan,18,15.0,16.0,1.0,4.0,17.0,2.0,1.0,0.0,2.0,0.0,0.0
Papyrus,3,3.0,3.0,1.0,3.0,3.0,3.0,1.0,0.0,3.0,0.0,0.0
Parrot Assembly,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parrot Internal Representation,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pascal,13,13.0,7.0,8.0,10.0,6.0,10.0,13.0,1.0,9.0,6.0,3.0
Pawn,7,7.0,6.0,6.0,7.0,7.0,6.0,5.0,0.0,4.0,0.0,0.0
Pep8,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Perl,27,26.0,26.0,27.0,26.0,26.0,26.0,26.0,6.0,27.0,26.0,16.0
Pic,3,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Pickle,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PicoLisp,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PigLatin,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pike,3,3.0,3.0,2.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,2.0
Pip Requirements,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pkl,3,2.0,3.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
PlantUML,7,7.0,7.0,5.0,7.0,7.0,7.0,4.0,0.0,5.0,4.0,0.0
Pod 6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pod,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PogoScript,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Polar,2,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Pony,6,6.0,6.0,0.0,6.0,6.0,6.0,0.0,0.0,3.0,0.0,0.0
Portugol,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0
PostCSS,2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PostScript,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,0.0
PowerBuilder,6,6.0,4.0,3.0,6.0,3.0,5.0,4.0,0.0,4.0,1.0,0.0
PowerShell,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,2.0
Praat,3,3.0,3.0,2.0,3.0,3.0,3.0,2.0,0.0,2.0,0.0,0.0
Prisma,5,5.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,5.0,2.0,0.0
Processing,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
Procfile,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Proguard,3,3.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,2.0,1.0,0.0
Prolog,10,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,3.0
Promela,7,7.0,7.0,7.0,7.0,7.0,7.0,5.0,0.0,5.0,1.0,0.0
Propeller Spin,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Protocol Buffer Text Format,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Protocol Buffer,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Public Key,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pug,2,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
Puppet,5,5.0,5.0,5.0,5.0,5.0,5.0,4.0,1.0,4.0,4.0,1.0
PureBasic,2,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0
PureScript,4,4.0,4.0,2.0,4.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0
Pyret,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Python,21,19.0,17.0,17.0,17.0,21.0,20.0,20.0,4.0,19.0,21.0,18.0
Q#,2,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0
QML,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
QMake,4,4.0,4.0,4.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,0.0
Qt Script,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quake,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
QuickBASIC,3,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
R,8,8.0,8.0,6.0,8.0,8.0,8.0,8.0,1.0,6.0,8.0,6.0
RAML,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
RBS,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RDoc,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REXX,4,4.0,3.0,4.0,3.0,4.0,4.0,2.0,0.0,3.0,3.0,1.0
RMarkdown,2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
RON,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RPC,3,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
RPGLE,9,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0
RPM Spec,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RUNOFF,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Racket,2,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0
Ragel,3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Raku,24,6.0,23.0,19.0,14.0,23.0,14.0,13.0,1.0,4.0,5.0,0.0
Rascal,5,4.0,4.0,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0
ReScript,1,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Readline Config,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reason,6,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ReasonLIGO,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rebol,6,6.0,6.0,6.0,6.0,5.0,6.0,6.0,2.0,5.0,5.0,1.0
Record Jar,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red,2,2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0
Redirect Rules,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Regular Expression,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RenPy,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RenderScript,2,1.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Rez,3,1.0,2.0,0.0,2.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0
Rich Text Format,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ring,4,4.0,4.0,1.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0
Riot,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RobotFramework,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roc,4,4.0,4.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
Roff Manpage,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Roff,18,3.0,0.0,4.0,6.0,8.0,4.0,1.0,0.0,1.0,0.0,0.0
RouterOS Script,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ruby,39,39.0,38.0,37.0,39.0,38.0,39.0,38.0,15.0,37.0,37.0,21.0
Rust,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0
SAS,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0
SCSS,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
SELinux Policy,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMT,4,3.0,4.0,3.0,4.0,4.0,3.0,3.0,0.0,4.0,3.0,0.0
SPARQL,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0
SQF,2,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0
SQL,14,11.0,10.0,4.0,8.0,5.0,10.0,11.0,3.0,9.0,10.0,4.0
SQLPL,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SRecode Template,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SSH Config,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STAR,3,2.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0
STON,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SWIG,3,0.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
Sage,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SaltStack,6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sass,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
Scala,7,7.0,7.0,6.0,7.0,7.0,7.0,7.0,0.0,5.0,6.0,2.0
Scaml,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scenic,4,1.0,3.0,2.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,0.0
Scheme,4,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,0.0
Scilab,3,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0
ShaderLab,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Shell,55,22.0,9.0,16.0,16.0,21.0,36.0,26.0,2.0,0.0,8.0,1.0
ShellCheck Config,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ShellSession,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shen,3,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0
Sieve,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,4.0,7.0,10.0,0.0
Simple File Verification,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Singularity,1,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Slash,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Slice,3,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
